t_segundos,angulo_crudo,angulo_filtrado
8.902,136.76,136.76
8.969,139.36,138.06
9.036,151.07,142.40
9.102,149.06,144.06
9.169,173.19,149.89
9.236,177.44,158.02
9.302,177.51,165.65
9.370,178.75,171.19
9.409,175.57,176.49
9.469,177.50,177.35
9.537,176.20,177.11
9.577,175.50,176.70
9.639,168.36,174.63
9.702,162.86,172.09
9.769,159.88,168.56
9.836,156.65,164.65
9.903,152.81,160.11
9.969,155.06,157.45
10.035,154.28,155.73
10.102,160.21,155.80
10.169,137.62,151.99
10.235,100.79,141.59
10.302,156.34,141.85
10.369,165.19,144.03
10.436,161.07,144.20
10.502,159.01,148.48
10.569,158.70,160.06
10.635,161.23,161.04
10.702,164.77,160.96
10.769,162.60,161.26
10.835,159.76,161.41
10.902,161.70,162.01
10.968,165.17,162.80
11.035,161.73,162.19
11.101,165.60,162.79
11.168,168.34,164.51
11.235,170.07,166.18
11.302,171.17,167.38
11.368,171.47,169.33
11.435,172.13,170.64
11.502,170.94,171.15
11.568,170.32,171.20
11.635,168.89,170.75
11.701,168.65,170.19
11.768,166.91,169.14
11.834,167.38,168.43
11.901,165.73,167.51
11.968,165.75,166.88
12.035,165.53,166.26
12.101,167.46,166.37
12.168,163.72,165.64
12.234,163.50,165.19
12.301,164.83,165.01
12.368,166.55,165.21
12.434,163.23,164.37
12.501,162.12,164.05
12.568,162.57,163.86
12.634,163.33,163.56
12.701,165.07,163.27
12.767,164.02,163.42
12.834,163.78,163.76
12.901,162.00,163.64
12.967,162.84,163.54
13.034,161.58,162.84
13.101,163.66,162.77
13.167,165.30,163.08
13.234,163.66,163.41
13.300,163.05,163.45
13.367,163.49,163.83
13.434,163.56,163.81
13.500,162.84,163.32
13.567,163.66,163.32
13.600,163.75,163.46
13.634,164.46,163.65
13.667,164.46,163.83
13.701,163.63,163.99
13.734,165.56,164.37
13.767,167.30,165.08
13.800,166.41,165.47
13.834,166.11,165.80
13.867,166.16,166.31
13.900,166.16,166.43
13.934,163.14,165.59
14.000,163.57,165.03
14.067,166.22,165.05
14.100,166.22,165.06
14.133,165.14,164.86
14.200,164.34,165.10
14.267,165.18,165.42
14.300,165.32,165.24
14.333,163.60,164.72
14.400,164.70,164.63
14.467,164.70,164.70
14.533,163.15,164.29
14.600,163.93,164.02
14.633,163.93,164.08
14.700,163.06,163.75
14.767,163.06,163.42
14.833,163.93,163.58
14.867,163.06,163.41
14.900,163.90,163.40
14.933,164.72,163.73
14.966,164.84,164.09
15.000,164.72,164.25
15.033,164.72,164.58
15.100,164.60,164.72
15.133,164.84,164.75
15.166,164.84,164.75
15.200,164.84,164.77
15.233,164.03,164.63
15.267,163.90,164.49
15.300,163.05,164.13
15.367,165.55,164.27
15.433,165.33,164.37
15.500,164.58,164.48
15.566,164.58,164.62
15.667,164.69,164.95
15.733,163.87,164.61
15.800,164.69,164.48
15.866,163.93,164.35
15.933,164.79,164.39
15.999,163.93,164.24
16.066,164.69,164.40
16.133,165.50,164.57
16.200,166.32,165.05
16.266,166.32,165.35
16.333,167.19,166.01
16.399,168.01,166.67
16.466,167.08,166.99
16.534,167.19,167.16
16.600,166.46,167.19
16.666,167.38,167.23
16.732,168.19,167.26
16.799,168.29,167.50
16.866,167.40,167.54
16.932,166.52,167.56
16.999,164.67,167.02
17.066,165.74,166.52
17.132,164.80,165.83
17.199,163.12,164.97
17.266,166.27,164.92
17.333,166.06,165.20
17.399,167.05,165.46
17.466,167.05,165.91
17.532,167.31,166.75
17.599,165.54,166.60
17.665,165.54,166.50
17.732,164.70,166.03
17.799,165.55,165.73
17.865,165.54,165.37
17.932,167.23,165.71
17.999,166.48,165.90
18.066,165.72,166.10
18.132,166.56,166.30
18.199,165.64,166.32
18.265,167.24,166.33
18.332,167.12,166.45
18.398,168.00,166.91
18.466,165.46,166.69
18.532,165.46,166.65
18.599,166.27,166.46
18.665,168.11,166.66
18.731,167.31,166.52
18.798,165.59,166.55
18.864,164.73,166.40
18.931,166.86,166.52
18.998,166.92,166.28
19.065,164.81,165.78
19.131,166.94,166.05
19.198,166.18,166.34
19.265,167.12,166.39
19.331,165.94,166.20
19.398,166.11,166.46
19.465,164.74,166.02
19.531,165.76,165.94
19.598,166.06,165.72
19.664,166.20,165.78
19.732,166.18,165.79
19.798,165.55,165.95
19.865,167.34,166.27
19.931,166.54,166.36
19.998,167.37,166.60
20.065,167.23,166.81
20.131,167.31,167.16
20.198,166.47,166.98
20.265,166.25,166.93
20.331,166.39,166.73
20.398,165.59,166.40
20.464,166.36,166.21
20.531,164.67,165.85
20.598,164.58,165.52
20.664,167.19,165.68
20.731,167.07,165.97
20.797,167.22,166.15
20.865,169.86,167.18
20.931,166.42,167.55
20.998,165.13,167.14
21.064,166.95,167.12
21.131,166.95,167.06
21.197,165.38,166.17
21.264,165.29,165.94
21.331,165.63,166.04
21.397,166.39,165.93
21.464,166.27,165.79
21.531,166.08,165.93
21.597,167.31,166.34
21.664,169.03,167.01
21.730,167.31,167.20
21.797,168.07,167.56
21.863,167.31,167.80
21.930,166.47,167.64
21.997,164.53,166.74
22.064,166.21,166.52
22.130,166.33,166.17
22.197,166.45,166.00
22.264,166.39,165.98
22.332,167.18,166.51
22.397,167.18,166.71
22.463,166.33,166.71
22.530,166.25,166.67
22.597,165.43,166.47
22.664,166.25,166.29
22.730,166.25,166.10
22.797,165.33,165.90
22.864,164.65,165.58
22.931,166.33,165.76
22.997,166.17,165.75
23.064,167.22,165.94
23.130,167.08,166.29
23.197,166.04,166.57
23.263,167.00,166.70
23.330,167.98,167.06
23.397,167.98,167.22
23.463,167.85,167.37
23.529,167.94,167.75
23.596,167.12,167.78
23.662,167.11,167.60
23.729,165.40,167.08
23.796,163.83,166.28
23.863,165.46,165.78
23.929,163.78,165.11
23.996,163.78,164.45
24.063,164.66,164.30
24.130,163.78,164.29
24.196,163.83,163.97
24.263,165.50,164.31
24.330,165.67,164.69
24.363,165.67,164.89
24.429,165.78,165.29
24.496,164.14,165.35
24.562,165.80,165.41
24.629,167.45,165.77
24.663,168.26,166.28
24.729,166.53,166.44
24.796,164.73,166.55
24.863,164.73,166.34
24.930,166.41,166.13
24.997,166.41,165.76
25.064,166.34,165.72
25.130,165.42,165.86
25.197,165.59,166.04
25.263,166.41,166.04
25.330,166.28,166.01
25.396,165.50,165.84
25.463,166.31,166.02
25.530,169.85,166.87
25.596,168.93,167.37
25.664,167.24,167.57
25.730,167.17,167.90
25.797,167.18,168.07
25.863,167.09,167.52
25.929,167.03,167.14
25.997,167.85,167.26
26.062,166.97,167.22
26.129,167.03,167.20
26.196,167.97,167.37
26.263,167.97,167.56
26.330,166.21,167.23
26.396,167.11,167.26
26.462,167.11,167.27
26.529,167.17,167.11
26.596,166.31,166.78
26.663,165.56,166.65
26.729,166.35,166.50
26.795,166.37,166.35
26.862,167.08,166.33
26.929,167.94,166.66
26.995,166.97,166.94
27.062,166.27,166.92
27.129,168.76,167.40
27.196,167.87,167.56
27.262,168.01,167.58
27.329,168.95,167.97
27.396,167.03,168.12
27.462,168.73,168.12
27.529,167.87,168.12
27.595,167.05,167.92
27.662,168.05,167.74
27.729,167.03,167.74
27.794,167.08,167.41
27.861,167.03,167.25
27.928,166.93,167.22
27.994,167.03,167.02
28.061,167.17,167.05
28.127,167.47,167.12
28.194,166.63,167.04
28.261,165.70,166.80
28.327,167.36,166.86
28.394,167.24,166.88
28.461,168.90,167.17
28.527,168.76,167.59
28.594,169.83,168.42
28.661,167.91,168.53
28.729,167.05,168.49
28.795,167.88,168.28
28.862,168.85,168.30
28.929,168.88,168.11
28.995,169.72,168.48
29.061,169.85,169.04
29.128,169.85,169.43
29.195,169.83,169.62
29.261,168.01,169.45
29.328,167.05,168.92
29.394,169.70,168.89
29.461,168.68,168.65
29.529,169.57,168.60
29.594,170.41,169.08
29.661,168.73,169.42
29.728,168.86,169.25
29.795,171.40,169.79
29.861,169.59,169.80
29.928,170.55,169.83
29.995,171.49,170.38
30.062,171.51,170.91
30.127,172.35,171.10
30.195,170.81,171.34
30.261,171.51,171.53
30.327,171.51,171.54
30.394,169.22,171.08
30.461,169.22,170.45
30.528,166.66,169.62
30.594,169.41,169.20
30.661,168.55,168.61
30.727,169.99,168.76
30.794,169.17,168.76
30.861,161.55,167.73
30.927,129.03,159.66
30.994,100.77,146.10
31.061,84.41,128.99
31.127,86.12,112.38
31.194,84.91,97.05
31.260,60.74,83.39
31.327,142.77,91.79
31.394,159.09,106.72
31.461,71.06,103.71
31.527,42.28,95.19
31.593,37.24,90.49
31.660,39.35,69.80
31.727,55.83,49.15
31.794,96.97,54.33
31.860,95.47,64.97
31.927,87.02,74.93
31.994,59.78,79.01
32.060,52.24,78.29
32.127,81.94,75.29
32.193,81.89,72.57
32.260,77.61,70.69
32.327,103.81,79.50
32.393,82.25,85.50
32.461,54.56,80.02
32.527,92.88,82.22
32.594,99.91,86.68
32.660,77.20,81.36
32.727,76.37,80.18
32.794,57.34,80.74
32.860,89.74,80.11
32.926,63.99,72.93
32.993,75.45,72.58
33.059,85.80,74.46
