fotograma,captura_ms,estimacion_pose_ms,analisis_ms,renderizado_ms,despliegue_ms,total_ms
0,15.171,30.000,0.003,0.002,479.171,524.375
1,8.664,40.534,0.006,0.004,43.472,92.689
2,13.605,30.716,0.003,0.002,37.035,81.367
3,14.716,25.446,0.002,0.002,32.181,72.354
4,8.927,27.922,0.003,0.002,29.485,66.349
5,51.234,96.299,0.003,0.003,73.884,221.431
6,21.124,29.714,0.002,0.002,28.404,79.253
7,7.605,23.080,0.003,0.004,26.392,57.090
8,17.414,21.281,0.002,0.002,24.156,62.861
9,4.284,18.343,0.002,0.002,23.594,46.229
10,7.590,18.455,0.002,0.001,23.557,49.609
11,8.032,19.123,0.002,0.002,23.248,50.411
12,7.875,21.890,0.002,0.002,27.316,57.090
13,18.548,32.152,0.002,0.002,29.733,80.442
14,23.426,28.632,0.003,0.001,28.861,80.928
15,7.323,25.812,0.003,0.002,73.267,106.411
16,17.980,25.884,0.003,0.002,28.595,72.473
17,11.567,21.542,0.002,0.002,26.579,59.697
18,17.532,18.741,0.002,0.002,23.956,60.238
19,7.355,18.984,0.002,0.002,25.819,52.166
20,5.226,21.843,0.002,0.002,25.427,52.506
21,19.770,19.356,0.002,0.002,23.829,62.964
22,6.467,20.467,0.002,0.001,25.577,52.520
23,3.881,21.801,0.003,0.002,24.990,50.681
24,19.681,20.207,0.002,0.002,25.370,65.267
25,4.956,20.573,0.003,0.002,27.180,52.717
26,18.286,20.851,0.002,0.002,24.959,64.104
27,4.522,20.755,0.002,0.002,25.950,51.235
28,20.286,20.714,0.002,0.002,23.779,64.792
29,4.982,19.285,0.002,0.001,23.750,48.024
30,6.730,18.619,0.002,0.001,23.452,48.808
31,8.162,24.843,0.002,0.002,26.084,59.097
32,16.426,27.569,0.008,0.002,27.484,71.495
33,11.300,21.951,0.002,0.001,25.991,59.252
34,18.501,22.276,0.002,0.002,25.119,65.904
35,19.164,23.609,0.002,0.001,24.721,67.502
36,18.159,22.137,0.002,0.002,26.794,67.098
37,18.557,21.682,0.002,0.002,26.226,66.475
38,18.459,19.407,0.001,0.001,25.314,63.187
39,5.291,21.475,0.002,0.001,24.619,51.392
40,20.410,18.984,0.002,0.002,23.377,62.783
41,7.518,18.712,0.002,0.002,23.886,50.125
42,7.133,18.715,0.002,0.002,25.169,51.025
43,6.899,19.295,0.002,0.001,22.643,48.846
44,7.587,25.992,0.002,0.002,32.009,65.601
45,13.338,40.704,0.003,0.002,30.379,84.431
46,8.899,35.640,0.003,0.002,33.295,77.846
47,13.560,26.007,0.002,0.002,28.867,68.444
48,11.853,25.485,0.002,0.002,26.637,63.984
49,14.402,23.733,0.002,0.002,25.303,63.447
50,17.402,20.200,0.002,0.001,24.870,62.480
51,4.511,20.819,0.002,0.002,112.291,137.630
52,17.587,16.627,0.002,0.001,22.160,56.384
53,9.867,18.547,0.002,0.001,21.747,50.168
54,9.907,17.086,0.002,0.002,23.378,50.379
55,10.252,28.571,0.003,0.001,27.965,66.795
56,9.170,17.715,0.002,0.002,28.569,55.463
57,3.959,21.484,0.005,0.003,26.971,52.425
58,19.316,18.620,0.002,0.001,25.017,62.962
59,5.190,17.497,0.002,0.002,23.372,46.068
60,9.670,26.883,0.003,0.002,27.245,63.808
61,14.972,28.956,0.002,0.002,29.357,73.294
62,7.712,30.517,0.003,0.002,31.280,69.521
63,23.209,59.409,0.005,0.004,49.628,132.262
64,7.670,32.323,0.004,0.002,36.709,76.715
65,11.742,30.685,0.003,0.002,27.514,69.950
66,7.941,21.787,0.003,0.002,24.485,54.221
67,19.539,18.699,0.002,0.001,23.193,61.438
68,8.207,18.299,0.001,0.001,23.125,49.637
69,8.430,18.247,0.002,0.001,21.711,48.394
70,9.757,16.510,0.002,0.001,21.892,48.166
71,11.383,16.448,0.001,0.001,21.873,49.713
72,12.083,16.619,0.001,0.001,21.990,50.698
73,11.179,16.149,0.001,0.001,22.441,49.773
74,11.469,16.722,0.002,0.001,22.422,50.619
75,10.582,16.649,0.002,0.001,22.124,49.362
76,11.990,17.632,0.006,0.002,22.087,51.726
77,9.541,16.775,0.002,0.002,22.257,48.580
78,10.952,16.965,0.002,0.001,22.097,50.020
79,11.864,16.219,0.002,0.002,23.137,51.227
80,12.293,21.105,0.002,0.001,23.523,56.932
81,20.219,22.063,0.002,0.002,28.124,70.414
82,15.856,18.534,0.002,0.002,25.240,59.639
83,6.720,23.052,0.002,0.002,26.257,56.037
84,17.516,21.956,0.002,0.002,24.602,64.086
85,4.650,18.798,0.002,0.001,25.058,48.514
86,4.628,22.107,0.004,0.002,26.922,53.666
87,17.789,19.947,0.002,0.001,23.290,61.034
88,6.784,23.279,0.002,0.002,24.150,54.221
89,19.050,16.565,0.002,0.002,21.797,57.418
90,11.087,16.924,0.002,0.001,21.828,49.846
91,11.602,16.452,0.001,0.001,21.774,49.834
92,11.260,16.202,0.004,0.003,22.118,49.594
93,11.714,16.498,0.001,0.001,21.564,49.782
94,12.154,16.877,0.001,0.001,22.308,51.344
95,11.000,16.179,0.001,0.001,22.214,49.399
96,11.421,16.242,0.001,0.001,21.308,48.978
97,12.639,16.304,0.001,0.001,24.417,53.366
98,8.634,16.678,0.001,0.001,22.068,47.388
99,11.651,17.057,0.002,0.002,22.619,51.336
100,10.198,19.201,0.002,0.001,22.691,52.099
101,8.973,16.965,0.002,0.002,21.962,47.907
102,10.231,16.542,0.001,0.001,21.622,48.402
103,12.069,16.377,0.002,0.001,21.584,50.036
104,11.700,16.637,0.002,0.001,21.682,50.025
105,11.743,16.450,0.001,0.001,21.573,49.773
106,12.266,16.231,0.002,0.001,21.605,50.107
107,11.826,16.518,0.001,0.001,21.554,49.903
108,12.007,16.573,0.003,0.002,21.679,50.267
109,11.684,16.365,0.001,0.001,21.465,49.519
110,12.626,16.234,0.001,0.001,21.774,50.640
111,11.627,16.525,0.001,0.001,21.675,49.832
112,12.077,16.250,0.001,0.001,21.593,49.926
113,11.977,16.246,0.001,0.001,21.726,49.954
114,12.123,16.364,0.001,0.001,21.780,50.272
115,11.980,16.568,0.001,0.001,21.913,50.466
116,11.172,16.441,0.001,0.001,21.934,49.553
117,11.395,16.077,0.001,0.001,21.985,49.463
118,11.884,16.284,0.001,0.001,21.528,49.701
119,12.321,16.424,0.001,0.001,21.639,50.390
120,12.171,16.522,0.002,0.001,21.626,50.326
121,11.910,16.688,0.001,0.001,21.871,50.474
122,11.263,16.240,0.001,0.001,21.749,49.257
123,12.066,16.255,0.001,0.001,21.711,50.037
124,12.254,16.188,0.001,0.001,21.569,50.016
125,11.960,16.597,0.001,0.001,21.737,50.298
126,11.679,16.025,0.001,0.001,21.554,49.264
127,12.106,15.826,0.001,0.001,21.491,49.429
128,13.049,16.231,0.003,0.001,21.642,50.930
129,12.060,16.150,0.001,0.001,21.559,49.774
130,12.372,16.133,0.001,0.001,21.877,50.387
131,11.934,16.122,0.001,0.001,21.799,49.859
132,11.930,16.112,0.001,0.001,23.180,51.228
133,10.896,16.567,0.001,0.001,21.927,49.396
134,11.393,16.355,0.001,0.001,21.464,49.217
135,12.247,16.410,0.001,0.001,21.689,50.350
136,11.959,16.039,0.001,0.001,21.862,49.866
137,12.349,16.649,0.001,0.001,21.754,50.757
138,11.078,16.236,0.002,0.001,21.608,48.929
139,12.158,16.150,0.001,0.001,21.636,49.949
140,12.508,16.587,0.001,0.001,21.881,50.981
141,11.084,16.120,0.001,0.001,21.607,48.816
142,12.520,16.306,0.001,0.001,21.420,50.252
143,12.171,16.302,0.001,0.001,22.418,50.897
144,11.077,16.422,0.001,0.001,21.854,49.359
145,11.971,16.217,0.001,0.001,21.930,50.123
146,11.761,16.372,0.001,0.001,21.594,49.733
147,12.035,16.234,0.001,0.001,21.721,49.997
148,12.468,16.147,0.002,0.001,21.597,50.220
149,12.130,16.508,0.001,0.001,21.850,50.494
150,11.365,16.927,0.001,0.001,21.802,50.100
151,11.163,16.403,0.001,0.001,21.771,49.341
152,11.775,16.151,0.001,0.001,22.101,50.033
153,12.114,16.512,0.002,0.001,22.168,50.800
154,10.882,16.360,0.001,0.001,22.068,49.316
155,11.501,16.068,0.001,0.001,21.635,49.210
156,12.518,16.634,0.001,0.001,21.501,50.658
157,11.829,16.469,0.001,0.001,20.885,49.189
158,12.821,16.375,0.001,0.001,21.986,51.187
159,11.471,16.181,0.001,0.001,21.590,49.248
160,12.260,16.076,0.001,0.001,21.857,50.199
161,11.609,15.654,0.001,0.001,21.504,48.772
162,13.321,16.415,0.001,0.001,23.363,53.103
163,10.527,16.660,0.002,0.001,21.619,48.814
164,11.546,16.406,0.001,0.001,21.556,49.515
165,12.025,16.754,0.001,0.001,22.531,51.316
166,10.519,16.555,0.002,0.001,21.853,48.932
167,11.653,16.233,0.001,0.001,22.789,50.682
168,10.910,17.032,0.001,0.001,21.898,49.845
169,11.010,16.472,0.001,0.001,22.268,49.756
170,11.520,16.535,0.001,0.001,22.074,50.135
171,11.095,16.484,0.001,0.001,21.673,49.257
172,12.021,16.198,0.003,0.002,22.017,50.244
173,11.444,16.786,0.001,0.001,22.256,50.492
174,10.987,16.157,0.001,0.001,21.574,48.723
175,12.282,16.588,0.001,0.001,21.526,50.401
176,11.959,15.994,0.001,0.001,22.133,50.092
177,12.483,45.063,0.002,0.001,24.496,82.048
178,13.628,18.478,0.002,0.001,22.788,54.902
179,8.379,18.917,0.002,0.001,22.724,50.026
180,8.208,16.844,0.002,0.001,23.301,48.360
181,9.553,16.213,0.001,0.001,22.119,47.890
182,11.923,16.767,0.002,0.001,22.109,50.806
183,11.184,16.235,0.002,0.001,22.984,50.409
184,10.864,16.372,0.001,0.001,21.611,48.851
185,12.001,16.600,0.001,0.001,21.733,50.340
